age,cus_month_income,cus_gender,cus_marital_status,cus_customer_since,years_with_us,total_debit_trans_s1,total_debit_trans_s2,total_debit_trans_s3,total_debit_amt_s1,total_debit_amt_s2,total_debit_amt_s3,total_credit_trans_s1,total_credit_trans_s2,total_credit_trans_s3,total_credit_amt_s1,total_credit_amt_s2,total_credit_amt_s3,total_debit_amt,total_debit_trans,total_credit_amt,total_credit_trans,total_transactions,cus_target,tar_desc,status
49,7116.64,1,1,2,25,277,265,345,1459126.64,1230543.08,2068641.91,10,24,31,1516981.1,1764079.61,2378592.62,4758311.63,887,5659653.33,65,952,2231,0,0
46,1500000.0,0,4,46,14,37,15,45,35372.55,20134.0,83856.67,2,4,4,10000.0,19500.0,57500.0,139363.22,97,87000.0,10,107,2223,1,0
53,5000000.0,0,4,47,14,31,14,8,28248.85,4777.66,4348.95,14,8,5,709625.0,240311.84,70946.86,37375.46,53,1020883.7,27,80,2222,2,0
15,500.0,0,4,47,14,0,1,0,0.0,4000.0,0.0,5,4,3,30103.05,28089.99,18753.92,4000.0,1,76946.96,12,13,2223,1,0
48,9000000.0,0,4,198,5,15,33,12,69083.38,223007.51,46379.4,8,7,6,195600.0,176000.0,70500.0,338470.29,60,442100.0,21,81,2223,1,0
37,2556.0,1,4,48,14,113,138,239,735123.61,538514.0,610325.28,19,25,51,758585.68,539970.27,739082.52,1883962.89,490,2037638.47,95,585,2235,2,0
16,200000.0,0,4,49,14,3,0,0,8693.6,0.0,0.0,0,0,0,0.0,0.0,0.0,8693.6,3,0.0,0,3,2223,1,1
39,10000000.0,1,1,49,14,128,150,144,596180.91,477478.63,404143.6,7,11,14,431653.01,492067.05,630958.47,1477803.14,422,1554678.53,32,454,2223,1,0
46,15000000.0,1,1,49,14,214,362,301,772877.13,1461364.36,1006127.59,9,21,19,820952.0,1296021.03,1043510.33,3240369.08,877,3160483.36,49,926,2212,0,0
59,1500000.0,0,1,49,14,11,40,79,43400.0,128076.13,364208.55,0,5,7,0.0,130000.0,398046.93,535684.68,130,528046.93,12,142,2223,1,0
64,2800000.0,1,1,50,14,35,35,57,85600.0,90400.0,96200.0,6,7,18,83621.28,97558.16,89690.88,272200.0,127,270870.32,31,158,2223,1,0
37,3000.0,1,4,50,14,1,0,2,693.6,0.0,5749.7,0,0,0,0.0,0.0,0.0,6443.3,3,0.0,0,3,2223,1,1
51,1000000.0,1,4,50,14,32,10,22,77165.02,19400.0,53455.7,3,0,3,42633.4,0.0,12700.0,150020.72,64,55333.4,6,70,2222,2,0
43,1000000.0,0,4,50,14,0,0,30,0.0,0.0,155663.32,0,0,0,0.0,0.0,0.0,155663.32,30,0.0,0,30,2223,1,0
29,1000000.0,1,4,51,14,29,65,104,279015.0,112788.0,269577.78,12,12,16,202105.0,170423.0,498700.0,661380.78,198,871228.0,40,238,2223,1,0
32,1500000.0,1,4,51,14,154,173,79,371737.66,758561.44,217791.76,15,15,9,322000.0,579000.0,135500.0,1348090.86,406,1036500.0,39,445,2222,2,0
49,6131000.0,1,4,51,14,9,17,27,44002.0,98690.0,175193.5,1,3,4,145620.49,13400.0,161131.46,317885.5,53,320151.95,8,61,2222,2,0
35,250000.0,1,4,51,14,68,247,248,54294.71,324883.59,513787.91,6,23,35,45140.0,265415.0,683220.97,892966.21,563,993775.97,64,627,2222,2,0
18,1000000.0,0,4,53,14,32,56,130,192356.29,749951.48,353666.3,15,19,14,245976.4,622766.31,260565.1,1295974.07,218,1129307.81,48,266,2222,2,0
